ICD10	Term_description
H60.1	Cellulitis of external ear
K12.2	Cellulitis and abscess of mouth
L03	Cellulitis
N73.0	Acute parametritis and pelvic cellulitis
N73.1	Chronic parametritis and pelvic cellulitis
N73.2	Unspecified parametritis and pelvic cellulitis
A20.1	Cellulocutaneous plague
A21.0	Ulceroglandular tularaemia
A22.0	Cutaneous anthrax
A26.0	Cutaneous erysipeloid
A31.1	Cutaneous mycobacterial infection
A32.0	Cutaneous listeriosis
A36.3	Cutaneous diphtheria
A43.1	Cutaneous nocardiosis
A46	Erysipelas
A49.0	Staphylococcal infection, unspecified site
A51.3	Secondary syphilis of skin and mucous membranes
J34.0	Abscess, furuncle and carbuncle of nose
L00	Staphylococcal scalded skin syndrome
L01	Impetigo
L02	Cutaneous abscess, furuncle and carbuncle
L04	Acute lymphadenitis
L08.1	Erythrasma
L08.8	Other specified local infections of skin and subcutaneous tissue
L08.9	Local infection of skin and subcutaneous tissue, unspecified
L30.3	Infective dermatitis
