readcode	term_readcode	subgroup
K15..	Cystitis	cystitis
K150.	Acute cystitis	cystitis
K155.	Recurrent cystitis	cystitis
K15z.	Cystitis NOS	cystitis
K190.	Urinary tract infection, site not specified	cystitis
K1900	Bacteriuria, site not specified	cystitis
K1902	Post operative urinary tract infection	cystitis
K1903	Recurrent urinary tract infection	cystitis
K1905	Urinary tract infection	cystitis
K190z	Urinary tract infection, site not specified NOS	cystitis
1AG..	Recurrent urinary tract infections	cystitis
SP07Q	Catheter-associated urinary tract infection	cystitis
K104.	Xanthogranulomatous pyelonephritis	pyelonephritis
K10y.	Pyelonephritis and pyonephrosis unspecified	pyelonephritis
K10y0	Pyelonephritis unspecified	pyelonephritis
K10y1	Pyelitis unspecified	pyelonephritis
K10y2	Pyonephrosis unspecified	pyelonephritis
K10y3	Pyelonephritis in diseases EC	pyelonephritis
K10y4	Pyelitis in diseases EC	pyelonephritis
K10yz	Unspecified pyelonephritis NOS	pyelonephritis
K154.	Cystitis in diseases EC	cystitis
K1540	Cystitis in actinomycosis	cystitis
K1545	Cystitis in gonorrhoea	cystitis
K154z	Cystitis in diseases EC NOS	cystitis
K15y.	Other specified cystitis	cystitis
K15y0	Cystitis cystica	cystitis
K15yz	Other cystitis NOS	cystitis
K1904	Chronic urinary tract infection	cystitis
1J4..	Suspected UTI	cystitis
L166.	Genitourinary tract infections in pregnancy	cystitis
L1660	Genitourinary tract infection in pregnancy unspecified	cystitis
L1661	Genitourinary tract infection in pregnancy - delivered	cystitis
L1665	Infections of kidney in pregnancy	pyelonephritis
L1666	Urinary tract infection following delivery	cystitis
L1668	Urinary tract infection complicating pregnancy	cystitis
L166z	Genitourinary tract infection in pregnancy NOS	cystitis
K105.	Chronic infective interstitial nephritis	pyelonephritis
K10z.	Infection of kidney NOS	pyelonephritis
K1544	Cystitis in diphtheria	cystitis
K1548	Cystitis in tuberculosis	cystitis
K1906	Urosepsis	not specific or other
A32y3	diphtheritic cystitis	cystitis
A9811	acute gonococcal cystitis	cystitis
A9831	chronic gonococcal cystitis	cystitis
K100.	chronic pyelonephritis	pyelonephritis
K1000	chronic pyelonephritis without medullary necrosis	pyelonephritis
