readcode	term_readcode
F4D0.	Cellulitis of eyelids
F4D14	Cellulitis of eyelid
H1y51	Cellulitis of vocal cords
H1y71	Cellulitis of larynx
J083.	Oral cellulitis and abscess
J0830	Cellulitis of floor of mouth
J0831	Oral soft tissue cellulitis unspecified
J0832	Abscess of oral soft tissue unspecified
J083z	Oral cellulitis and abscess NOS
J0851	Cellulitis of lip
J54..	Cellulitis - anus or rectum
J540.	Perianal cellulitis
K2723	Cellulitis of penis
K2843	Cellulitis of scrotum
K403.	Acute parametritis and pelvic cellulitis
K4031	Acute pelvic cellulitis
K403z	Acute parametritis and pelvic cellulitis NOS
K404.	Chronic parametritis and pelvic cellulitis
K4040	Chronic female pelvic cellulitis
K405.	Parametritis and pelvic cellulitis unspecified
K4051	Pelvic cellulitis unspecified
K405z	Parametritis and pelvic cellulitis NOS
M02..	Cellulitis and abscess of finger and toe
M020.	Cellulitis and abscess of finger
M0200	Cellulitis and abscess of finger unspecified
M020z	Cellulitis and abscess of finger NOS
M021.	Cellulitis and abscess of toe
M0210	Cellulitis and abscess of toe unspecified
M021z	Cellulitis and abscess of toe NOS
M02z.	Cellulitis and abscess of digit NOS
M03..	Cellulitis of skin area excluding digits of hand or foot
M030.	Cellulitis and abscess of face
M0300	Cellulitis and abscess of cheek
M0301	Cellulitis and abscess of nose
M0302	Cellulitis and abscess of chin
M0303	Cellulitis and abscess of submandibular region
M0304	Cellulitis and abscess of forehead
M0305	Cellulitis and abscess of temple region
M0306	Cellulitis of face
M030z	Cellulitis and abscess of face NOS
M031.	Cellulitis and abscess of neck
M032.	Cellulitis and abscess of trunk
M0320	Cellulitis and abscess of chest wall
M0321	Cellulitis and abscess of breast
M0322	Cellulitis and abscess of back
M0323	Cellulitis and abscess of abdominal wall
M0324	Cellulitis and abscess of umbilicus
M0325	Cellulitis and abscess of flank
M0326	Cellulitis and abscess of groin
M0327	Cellulitis and abscess of perineum
M0328	Cellulitis of trunk
M032z	Cellulitis and abscess of trunk NOS
M033.	Cellulitis and abscess of arm
M0330	Cellulitis and abscess of shoulder
M0331	Cellulitis and abscess of axilla
M0332	Cellulitis and abscess of upper arm
M0333	Cellulitis and abscess of elbow
M0334	Cellulitis and abscess of forearm
M033z	Cellulitis and abscess of arm NOS
M034.	Cellulitis and abscess of hand
M0340	Cellulitis and abscess of hand unspecified
M0341	Cellulitis and abscess of wrist
M034z	Cellulitis and abscess of hand NOS
M035.	Cellulitis and abscess of buttock
M036.	Cellulitis and abscess of leg
M0360	Cellulitis and abscess of hip
M0361	Cellulitis and abscess of thigh
M0362	Cellulitis and abscess of knee
M0363	Cellulitis and abscess of lower leg
M0364	Cellulitis and abscess of ankle
M036z	Cellulitis and abscess of leg NOS
M037.	Cellulitis and abscess of foot
M0370	Cellulitis and abscess of foot unspecified
M0371	Cellulitis and abscess of heel
M0372	Cellulitis in diabetic foot
M037z	Cellulitis and abscess of foot NOS
M038.	Cellulitis of external ear
M03y.	Other specified cellulitis and abscess
M03y0	Cellulitis and abscess of head unspecified
M03z.	Cellulitis and abscess NOS
M03z0	Cellulitis NOS
M03zz	Cellulitis and abscess NOS
M08..	Cutaneous cellulitis
